date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:41	6144/6144	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Oct%202023%2020:30:21%20GMT	https://cruchebois.000webhostapp.com/robots.txt		(from )
22:30:42	30890/30890	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:22%20GMT	https://cruchebois.000webhostapp.com/	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/index.html	(from )
22:30:42	6354/6354	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Sep%202022%2004:21:01%20GMT	https://cruchebois.000webhostapp.com/assets/img/favicon.png	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/favicon.png	(from https://cruchebois.000webhostapp.com/)
22:30:43	738/738	---MC-	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202023%2020:30:24%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300,400,700	/home/g0dzila/websites/cruchebois/fonts.googleapis.com/css8a7c.css	(from https://cruchebois.000webhostapp.com/)
22:30:44	412/412	---MC-	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202023%2020:30:25%20GMT	https://fonts.googleapis.com/css?family=Poppins:400,700&display=swap	/home/g0dzila/websites/cruchebois/fonts.googleapis.com/css84ef.css	(from https://cruchebois.000webhostapp.com/)
22:30:47	53592/53592	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:31%20GMT	https://cruchebois.000webhostapp.com/assets/css/all.min.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/all.min.css	(from https://cruchebois.000webhostapp.com/)
22:30:48	4614/4614	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:37%20GMT	https://cruchebois.000webhostapp.com/assets/css/owl.carousel.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/owl.carousel.css	(from https://cruchebois.000webhostapp.com/)
22:30:49	6950/6950	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:34%20GMT	https://cruchebois.000webhostapp.com/assets/css/magnific-popup.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/magnific-popup.css	(from https://cruchebois.000webhostapp.com/)
22:30:51	2612/2612	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:36%20GMT	https://cruchebois.000webhostapp.com/assets/css/meanmenu.min.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/meanmenu.min.css	(from https://cruchebois.000webhostapp.com/)
22:30:51	68612/68612	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:34%20GMT	https://cruchebois.000webhostapp.com/assets/css/animate.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/animate.css	(from https://cruchebois.000webhostapp.com/)
22:30:52	44999/44999	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:35%20GMT	https://cruchebois.000webhostapp.com/assets/css/main.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/main.css	(from https://cruchebois.000webhostapp.com/)
22:30:53	8889/8889	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Sep%202022%2004:09:37%20GMT	https://cruchebois.000webhostapp.com/assets/css/responsive.css	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/css/responsive.css	(from https://cruchebois.000webhostapp.com/)
22:30:54	6934/6934	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Sep%202022%2004:21:09%20GMT	https://cruchebois.000webhostapp.com/assets/img/logo.png	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/logo.png	(from https://cruchebois.000webhostapp.com/)
22:30:55	30890/30890	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:34%20GMT	https://cruchebois.000webhostapp.com/index.html	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/index-2.html	(from https://cruchebois.000webhostapp.com/)
22:30:57	22276/22276	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:36%20GMT	https://cruchebois.000webhostapp.com/about.html	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/about.html	(from https://cruchebois.000webhostapp.com/)
22:30:58	20964/20964	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:37%20GMT	https://cruchebois.000webhostapp.com/news.html	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/news.html	(from https://cruchebois.000webhostapp.com/)
22:30:59	17842/17842	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:39%20GMT	https://cruchebois.000webhostapp.com/contact.html	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/contact.html	(from https://cruchebois.000webhostapp.com/)
22:31:00	28825/28825	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202023%2020:30:40%20GMT	https://cruchebois.000webhostapp.com/shop.html	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/shop.html	(from https://cruchebois.000webhostapp.com/)
22:31:01	47013/47013	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:28%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p6.jpg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p6.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:01	28382/28382	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:22%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p1.jpg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p1.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:04	106117/106117	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:23%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p2.jpeg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p2.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:04	218052/218052	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:30%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p7.jpg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p7.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:05	32979/32979	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:25%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p3.jpg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p3.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:06	72959/72959	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Sep%202022%2004:15:31%20GMT	https://cruchebois.000webhostapp.com/assets/img/produit/p8.jpg	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/produit/p8.jpg	(from https://cruchebois.000webhostapp.com/)
22:31:09	122274/122274	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Sep%202022%2004:11:29%20GMT	https://cruchebois.000webhostapp.com/assets/img/avaters/avatar1.png	/home/g0dzila/websites/cruchebois/cruchebois.000webhostapp.com/assets/img/avaters/avatar1.png	(from https://cruchebois.000webhostapp.com/)
